Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Nhà riêng	Nha Trang Homestay Vy House - 6 phòng ngủ	12 khách · 6 Phòng ngủ · 4 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ dịch vụ	Nha Trang beachfront apartment, cheap price	5 khách · 2 Phòng ngủ · 1 phòng tắm	680,000₫/đêm 800,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư · Cồn Tân Lập	Ha's House Căn hộ 4 phòng ngủ view biển trực diện	12 khách · 4 Phòng ngủ · 4 phòng tắm	2,350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Bean House - Serviced Apt in Nha Trang Center 2.1	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	4	
Nhà riêng	Phòng góc (203) - Yellow House Nha Trang	3 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Nhà riêng	Mộc Homestay Nha Trang - Cozy Family On The Top At City Center 401	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư · Mường Thanh Quê Hương	Căn hộ View biển Thảo Linh Condominium	6 khách · 2 Phòng ngủ · 2 phòng tắm	693,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Nhà riêng	Chill on Hammocks Nha Trang Central HM1	4 khách · 1 Phòng ngủ · 1 phòng tắm	361,000₫/đêm 380,000₫	Nha Trang, Khánh Hòa, Vietnam	11	
Căn hộ dịch vụ	Timeless 2 - - Studio apartment with Balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	Anita Apartment Nha Trang	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Khác	Ana house - Suite Double Bed	2 khách · 1 Phòng ngủ · 1 phòng tắm	577,500₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ chung cư	Muong Thanh Vien Trieu Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,189,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ · khách sạn StarCity Nha Trang	KiiM Beachfront Căn Hộ Cao Cấp 4* Hướng Biển 1702	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,408,000₫/đêm 2,200,000₫	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ dịch vụ	Căn hộ hai buồng ngủ view biển	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,179,704₫/đêm 1,310,782₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	LUXURY 30 BEACHFRONT APARTMENT	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	11	
Nhà riêng	S:house Dorm 8 giường	8 khách · 1 Phòng ngủ · 1 phòng tắm	960,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra 1 phía biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	599,200₫/đêm 749,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	GHE HOME-Căn hộ cao cấp trung tâm Mường Thanh Trần Phú	6 khách · 2 Phòng ngủ · 3 phòng tắm	834,134₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	HaNa House - Brown	8 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Nhà riêng	Kokoro Home - Room 1	5 khách · 1 Phòng ngủ · 1 phòng tắm	693,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Nhà riêng	Kokoro Home - Room 2	5 khách · 1 Phòng ngủ · 1 phòng tắm	693,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Nhà riêng	Kokoro Home - Room 4	3 khách · 1 Phòng ngủ · 1 phòng tắm	399,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	12	
Nhà riêng	Mộc Homestay Nha Trang - Twin Double Bedrooms with Street View	4 khách · 1 Phòng ngủ · 1 phòng tắm	570,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Khác	The nice room with twin bed - Mr Duy Hostel	2 khách · 1 Phòng ngủ · 1 phòng tắm	300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Căn hộ chung cư · Cồn Tân Lập	3BEDS-River & Seaview APT Central-04 Tran Phu-32F	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Khác	AQUA Seaview Hotel - STUDIO SEAVIEW 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	522,000₫/đêm 580,000₫	Nha Trang, Khánh Hòa, Vietnam	9	
Căn hộ chung cư	MOONLIGHT HOUSE NHA TRANG - Room 304 standard	2 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	3	
Căn hộ chung cư	502 Standard twin · New studio with kitchen 4-mins to the beach	2 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Nhà riêng	Spacious & Private Apartment - Central Nha Trang HM2	5 khách · 1 Phòng ngủ · 1 phòng tắm	456,000₫/đêm 480,000₫	Nha Trang, Khánh Hòa, Vietnam	2	
Nhà riêng	Kokoro Home - Room 3	3 khách · 1 Phòng ngủ · 1 phòng tắm	485,100₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ dịch vụ	Coral House 2 - Room 3	4 khách · 1 Phòng ngủ · 1 phòng tắm	470,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	2	
Khác	AQUA Seaview Hotel - Deluxe Seaview room 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	391,500₫/đêm 435,000₫	Nha Trang, Khánh Hòa, Vietnam	7	
Nhà riêng	P Cũ Homestay	18 khách · 5 Phòng ngủ · 4 phòng tắm	3,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Bean House - Serviced Apt in Nha Trang Center 2.2	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Bean House - Serviced Apt in Nha Trang Center 3.2	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Bean House - Serviced Apt in Nha Trang Center 4.1	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	LUXURY 17 BEACHFRONT BOUTIQUE & APARTMENT	5 khách · 2 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ chung cư	ARIYANA SMART CONDOTEL -APARTMENT OCEAN VIEW - 4 STARS	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,386,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	SOHO Deluxe Seaview Apartment (2 Bedrooms) 24	4 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ Studio	AQUA Seaview Hotel - STUDIO SEAVIEW 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	522,000₫/đêm 580,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	Căn hộ hai phòng ngủ view biển rộng	5 khách · 2 Phòng ngủ · 2 phòng tắm	663,300₫/đêm 737,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Khác	AQUA Seaview Hotel - Deluxe Seaview room 1	2 khách · 1 Phòng ngủ · 1 phòng tắm	391,500₫/đêm 435,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	MOONLIGHT HOUSE NHA TRANG - Room 303 standard	2 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ	căn hộ view biển, view núi	4 khách · 2 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	AQUA Seaview Hotel - FAMILY 2 BED ROOMS	4 khách · 2 Phòng ngủ · 1 phòng tắm	621,000₫/đêm 690,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	999 CONDOTEL Mường Thanh Viễn Triều - Căn hộ 2 Phòng ngủ Nhìn ra 1 phía Biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	599,200₫/đêm 749,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio · Condotel Panorama Nha Trang	LaHome Retreats' Studio Nha Trang View	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Bean House - Serviced Apt in Nha Trang Center 3.1	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ chung cư	[Vievid 1] Ariyana 4★ Beach Apt Seaview @City Center	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,121,000₫/đêm 1,180,000₫	Nha Trang, Khánh Hòa, Vietnam	55	
Căn hộ chung cư	ĐÓN BÌNH MINH TẠI PHÒNG NGỦ - VIEW BIỂN - NHA TRANG	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,350,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Nha Trang Apartment in Champa Resort (City Center)	4 khách · 2 Phòng ngủ · 1 phòng tắm	1,600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ chung cư	Hieu's house	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Hometown Sea View 2-Bedroom apartment in Nha Trang centre	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Luxury studio with balcony seaview	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	ALoroom	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Smart Condotel Ariyana	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,400,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Hoang Anh Apartment	7 khách · 2 Phòng ngủ · 2 phòng tắm	1,800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	GODY Flight-House	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,456,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Meriton - Senior Deluxe King Room with Balcony and City View	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	PHUONG'S BEACH APARTMENT 5	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Louis & Annie Villa	14 khách · 5 Phòng ngủ · 6 phòng tắm	3,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	20	
Nhà riêng	Homestay Như Yến	20 khách · 4 Phòng ngủ · 5 phòng tắm	1,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Căn hộ QQ House ngay khu phố Tây, 5 phút đến biển và chợ đêm	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,380,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	11	
Căn hộ dịch vụ	Jay Boutique 4-Bedroom adjacent Sea View Apartment	12 khách · 4 Phòng ngủ · 4 phòng tắm	2,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	White house - Vintage, central Nha Trang	4 khách · 1 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	10	
Căn hộ Studio	Studio with Balcony seaview	3 khách · 1 Phòng ngủ · 1 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	NHA TRANG BEACH APARTMENT 2 BEDROOMS FOR RENT	7 khách · 2 Phòng ngủ · 1 phòng tắm	2,454,737₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	2-bedroom Seaview Nha Trang Apartment	4 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Marilyn- Floor 2	11 khách · 6 Phòng ngủ · 6 phòng tắm	4,550,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Deluxe One bedroom apartment with Coastal view	3 khách · 1 Phòng ngủ · 1 phòng tắm	2,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Meriton - Superior King Bed with Sea view	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,800,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Meriton - Superior King Bed with Moutain view	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Acqua Villa - Ocean View Pool Villa 6	7 khách · 3 Phòng ngủ · 3 phòng tắm	10,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	PHUONG'S BEACH APARTMENT 1	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	PHUONG'S BEACH APARTMENT 2	4 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Spacious & Modern Apartment near Beach Square HM8	6 khách · 1 Phòng ngủ · 1 phòng tắm	456,000₫/đêm 480,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	PHUONG'S BEACH APARTMENT 4	4 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	27th floor Cozy and Modern 1 bedroom apartment	4 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	1	
Căn hộ Studio · Nam Vĩnh Hải	Tulip Apartments & Hotel	3 khách · 1 Phòng ngủ · 1 phòng tắm	288,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	SeaView Apartment	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Centre Nha Trang Beach-Apartment 2BR Balcony(330)	6 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Mường Thanh Grand Nha Trang	Căn Hộ Hoty gần bãi biển	4 khách · 2 Phòng ngủ · 2 phòng tắm	375,000₫/đêm 500,000₫	Nha Trang, Khánh Hòa, Vietnam	1	
Nhà riêng	Blue Moon Homestay (204)	2 khách · 1 Phòng ngủ · 1 phòng tắm	560,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Chung cư Mường Thanh Viễn Triều Nha Trang	HANOI BY NIGHT - SEAVIEW APARTMENT - Toàn cảnh hướng biển	4 khách · 2 Phòng ngủ · 2 phòng tắm	960,000₫/đêm 1,200,000₫	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	The Ethnic House_Vẻ đẹp ấn tượng độc đáo bên bờ biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	990,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ · Cồn Tân Lập	Camellia Apartment - View cửa biển Nha Trang - Căn hộ tiện nghi sang trọng tại Số 4 Mường Thanh	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	KEM & STAY NHA TRANG - BLUE - 5MINS WALK TO BEACH	6 khách · 1 Phòng ngủ · 1 phòng tắm	570,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - ONE-BEDROOM APARTMENT WITH BALCONY	5 khách · 1 Phòng ngủ · 1 phòng tắm	1,645,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - ONE-BEDROOM APARTMENT WITH BALCONY AND SEA VIEW	5 khách · 1 Phòng ngủ · 1 phòng tắm	1,963,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Brian Le's Modern Apartment cạnh Hòn Chồng - Phòng Master Bedroom 18m2 City View & xéo biển - 1 Phòng ngủ phụ 12m2 View hành lang-Phòng khách 32m2	8 khách · 2 Phòng ngủ · 2 phòng tắm	600,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Homestay Nha Trang Space & Time - Room with toilet outside	2 khách · 1 Phòng ngủ · 1 phòng tắm	300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Villa Nha Trang Private Beach 5 Bedrooms E7	16 khách · 5 Phòng ngủ · 4 phòng tắm	7,222,220₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	C HOME NHA TRANG - 27C PHAN DINH GIOT: STUDIO APARTMENT	5 khách · 1 Phòng ngủ · 1 phòng tắm	200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Seaside Apartment - Căn hộ cao cấp sát cạnh bãi biển - 3114	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	LUX HOUSE	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,300,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	May House - Cozy 2 bedrooms apartment	6 khách · 1 Phòng ngủ · 1 phòng tắm	690,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Anna Villa Nha Trang Private Baech 5 Bedrooms E5	16 khách · 5 Phòng ngủ · 4 phòng tắm	7,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Phi Yen's Apartment - One Bedroom	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,150,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	MIMANCHIHOUSE 2928 căn hộ 2 phòng ngủ - cảnh biển BÃI TIÊN và NÚI CÔ TIÊN	5 khách · 2 Phòng ngủ · 2 phòng tắm	649,999₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Eagle's- Mixed Dorm	5 khách · 1 Phòng ngủ · 1 phòng tắm	499,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	Straw Hat - Phòng Riêng 2 Giường View City - Khu Phố Tây và Chợ Đêm	3 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Superior apartment	5 khách · 2 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Calo_hOME	6 khách · 2 Phòng ngủ · 2 phòng tắm	539,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Căn hộ cao cấp hai phòng ngủ nhìn ra đại dương	8 khách · 2 Phòng ngủ · 2 phòng tắm	4,500,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Khác	BanaHouse phòng riêng giá cực rẻ	2 khách · 1 Phòng ngủ · 1 phòng tắm	320,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Nhà riêng	Bedtime2D8 - Phòng dorm 6 người - giường tầng - gần biển	6 khách · 1 Phòng ngủ · 1 phòng tắm	200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Anna Apartment Center Nha Trang Sea View	8 khách · 2 Phòng ngủ · 2 phòng tắm	2,264,078₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	CĂN HỘ VCN PARK 2 APARTMENT	3 khách · 1 Phòng ngủ · 1 phòng tắm	250,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ Studio	K'home apartment - Very nice & cozy place (K1)	6 khách · 1 Phòng ngủ · 1 phòng tắm	650,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - STUDIO APARTMENT WITH SEA VIEW	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Căn hộ nghỉ dưỡng du lịch - Mường Thanh Luxury Khánh Hòa - Đối diện bãi biển	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Ocean BayView	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,100,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Bean House - Serviced Apt in Nha Trang Center 1.1	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	4	
Căn hộ dịch vụ	Holi Beach Apartments - Deluxe Double with Balcony	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Deluxe One-Bedroom Apartment with City View	3 khách · 1 Phòng ngủ · 1 phòng tắm	2,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Deluxe King Room with Balcony and Ocean View	2 khách · 1 Phòng ngủ · 1 phòng tắm	1,780,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Holi Beach Apartments - Studio Apartment with Sea View Higher floor	2 khách · 1 Phòng ngủ · 1 phòng tắm	2,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Phương Anh Studio_01	3 khách · 1 Phòng ngủ · 1 phòng tắm	460,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Biệt Thự	Anna Villa Nha Trang Private Baech and Pool 3 Bedrooms	14 khách · 3 Phòng ngủ · 3 phòng tắm	7,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Chung cư Mường Thanh Viễn Triều Nha Trang	Trangs Service Apartment - Căn hộ View Biển	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Molly Cozy Home, near the beach, in the center of Nha Trang	3 khách · 1 Phòng ngủ · 1 phòng tắm	834,134₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư · Căn hộ Napoleon Castle	Relax Apartment Nha Trang	5 khách · 2 Phòng ngủ · 1 phòng tắm	750,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Mường Thanh Viễn Triều,tòa 0c2b	6 khách · 2 Phòng ngủ · 2 phòng tắm	850,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Kingstay NhaTrang	4 khách · 1 Phòng ngủ · 1 phòng tắm	1,000,000₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ dịch vụ	Joy Apartment w Nice Rooftop @7min to Beach	4 khách · 1 Phòng ngủ · 1 phòng tắm	500,480₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
Căn hộ chung cư	Nha Trang Beach Apartment	10 khách · 2 Phòng ngủ · 2 phòng tắm	3,098,212₫/đêm	Nha Trang, Khánh Hòa, Vietnam	
