Loại	Tên	Các loại phòng	Giá	Vị trí	Số đánh giá
Căn hộ chung cư	| NEN 3 | 23rd Floor, 75m2 All view to the beach	5 khách · 2 Phòng ngủ · 2 phòng tắm	1,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	6	
Nhà riêng	An Homestay	20 khách · 3 Phòng ngủ · 4 phòng tắm	1,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	7	
Khác	Seaview homestay Vũng Tàu - Phòng Gia đình view sân vườn đẹp	8 khách · 1 Phòng ngủ · 1 phòng tắm	769,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư	BlaBla Apartment 03 - Căn hộ 2 PN, gần biển	6 khách · 2 Phòng ngủ · 1 phòng tắm	342,000₫/đêm 380,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	14	
Căn hộ chung cư	RedDoorz Family Cozy Room Next to Vung Tau BEACH - VT 2016	4 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm 500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng	Nhà Phố Núi - Virgo's Home	14 khách · 2 Phòng ngủ · 4 phòng tắm	560,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	5	
Căn hộ chung cư · Blue Sapphire Resort Vũng Tàu	[BS.608] Căn hộ view biển - Hồ bơi miễn phí	8 khách · 2 Phòng ngủ · 2 phòng tắm	1,840,000₫/đêm 2,300,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau Milan Homestay 9 - 3 bedroom Melody Apartment (B1-7)	13 khách · 3 Phòng ngủ · 2 phòng tắm	1,080,000₫/đêm 1,200,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	8	
Biệt Thự · Blue Sapphire Resort Vũng Tàu	Ruby Luxury Villa RL08 - R7 Blue Sapphire resort	20 khách · 4 Phòng ngủ · 4 phòng tắm	4,940,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau Milan Homestay 6 - Melody Queen Appartment	12 khách · 2 Phòng ngủ · 2 phòng tắm	585,000₫/đêm 650,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	10	
Căn hộ chung cư · Vũng Tàu Melody	Bello House [View biển đẹp - Cách biển 3 phút đi bộ]	4 khách · 1 Phòng ngủ · 1 phòng tắm	400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	13	
Căn hộ dịch vụ	Chillin House Sandy - Oceanview Superior Apartment	6 khách · 1 Phòng ngủ · 1 phòng tắm	405,000₫/đêm 450,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	15	
Căn hộ chung cư · Chung cư Vũng Tàu Plaza	Green House Vung Tau 2	20 khách · 3 Phòng ngủ · 3 phòng tắm	1,300,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Biệt Thự	Villa Viet Home 1	30 khách · 6 Phòng ngủ · 6 phòng tắm	2,700,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	6	
Căn hộ chung cư · Vũng Tàu Melody	Tomorrow Homestay Melody Luxury	12 khách · 2 Phòng ngủ · 2 phòng tắm	765,000₫/đêm 850,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Nhà riêng	Den's House Big Room	6 khách · 1 Phòng ngủ · 2 phòng tắm	450,000₫/đêm 500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Căn hộ dịch vụ	MT House Mạc Đĩnh Chi	10 khách · 3 Phòng ngủ · 3 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư	Cony's Home Melody 1 (2BR 2WC)	10 khách · 2 Phòng ngủ · 2 phòng tắm	540,000₫/đêm 600,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Căn hộ chung cư · Vũng Tàu Melody	Hello Vũng Tàu	6 khách · 1 Phòng ngủ · 1 phòng tắm	1,550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ dịch vụ	The Avis Apartment - Attic Double 202	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	12	
Căn hộ chung cư	Apartment Whith Balcony-Ocean View	8 khách · 2 Phòng ngủ · 2 phòng tắm	950,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	11	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau Milan Homestay 5 - Melody Luxury Appartment	12 khách · 2 Phòng ngủ · 2 phòng tắm	585,000₫/đêm 650,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau Milan Homestay 2 - B4-12 Melody Appartment (new)	8 khách · 2 Phòng ngủ · 1 phòng tắm	405,000₫/đêm 450,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	7	
Căn hộ chung cư · Vũng Tàu Melody	Bông's House 3 bed room, 5mins walk to beach	15 khách · 3 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Nhà riêng	Kim Minh Home - Room 08	2 khách · 1 Phòng ngủ · 1 phòng tắm	900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Căn hộ chung cư	Symphony Homestay - Căn hộ hiện đại và rộng rãi (250m2, tầng 25, view đẹp)	15 khách · 3 Phòng ngủ · 4 phòng tắm	2,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Nhà riêng	Secret Garden - Spring Room 300m to the beach	3 khách · 1 Phòng ngủ · 1 phòng tắm	350,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng	Homestay 75 Võ Thị Sáu	15 khách · 3 Phòng ngủ · 4 phòng tắm	1,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	14	
Biệt Thự	Halo Villa-01	20 khách · 6 Phòng ngủ · 7 phòng tắm	3,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ dịch vụ	The Avis Apartment - Attic Double 402	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	12	
Nhà riêng	BlaBla Orange 02	4 khách · 1 Phòng ngủ · 1 phòng tắm	216,000₫/đêm 240,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	17	
Căn hộ chung cư	Peppermint House Vintage-Vung Tau	10 khách · 2 Phòng ngủ · 2 phòng tắm	500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	11	
Căn hộ dịch vụ	The Avis Apartments - Penthouse	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,050,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Căn hộ chung cư	Sea room - Jolie's Home	2 khách · 1 Phòng ngủ · 1 phòng tắm	665,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Căn hộ dịch vụ · Vũng Tàu Melody	Chillin House Sunny - Oceanview Superior Apartment	8 khách · 2 Phòng ngủ · 2 phòng tắm	705,500₫/đêm 830,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	7	
Biệt Thự	CLoudy Villa	25 khách · 4 Phòng ngủ · 5 phòng tắm	1,800,000₫/đêm 2,000,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ dịch vụ	Chillin House Windy - Oceanview Superior Apartment	8 khách · 2 Phòng ngủ · 1 phòng tắm	535,500₫/đêm 630,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Biệt Thự	Villa Viet Home 3	30 khách · 6 Phòng ngủ · 4 phòng tắm	2,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Căn hộ chung cư · Vũng Tàu Melody	Ocean Rhythm Home	6 khách · 2 Phòng ngủ · 2 phòng tắm	450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư	Pooh Homestay 8 - infinite seaview	12 khách · 3 Phòng ngủ · 3 phòng tắm	1,400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	8	
Nhà riêng	Caravan Inn Homestay Vũng Tàu - Phòng dorm cho nhóm bạn & gia đình	15 khách · 1 Phòng ngủ · 3 phòng tắm	2,589,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Biệt Thự · Blue Sapphire Resort Vũng Tàu	Ruby Luxury Villa RL06 - R12A Blue Sapphire resort	15 khách · 3 Phòng ngủ · 4 phòng tắm	4,940,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	8	
Khác	Seaview homestay Vũng Tàu - Phòng Cabin nhỏ view sân vườn đẹp	2 khách · 1 Phòng ngủ · 1 phòng tắm	299,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng	SAO VIỆT HOMESTAY-SAO VIỆT XVNT NHÀ RIÊNG SANG CHẢNH CÁCH BIỂN 700M	30 khách · 4 Phòng ngủ · 5 phòng tắm	1,390,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư	CozyHouse VungTau 2nd	8 khách · 2 Phòng ngủ · 2 phòng tắm	600,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Nhà riêng	MiutiCarii HomeStay - Phòng Ban Công 2 ( 3 - 7 người )	7 khách · 1 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Căn hộ dịch vụ	The Avis Apartment - Attic Double 201	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	8	
Căn hộ chung cư	[A14.09]View biển - Cách Bãi Sau 5p đi bộ	7 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm 500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Biệt Thự	Ruby Luxury Villa RL01 - Sea view villa 81A Trần Phú	15 khách · 3 Phòng ngủ · 3 phòng tắm	7,880,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Căn hộ chung cư	BlaBla Apartment 01 - Căn hộ 2PN, View biển tuyệt đẹp	8 khách · 2 Phòng ngủ · 2 phòng tắm	432,000₫/đêm 480,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	22	
Nhà riêng	Babylon - Homestay nguyên căn 2 phòng ngủ sát biển Vũng Tàu	20 khách · 2 Phòng ngủ · 3 phòng tắm	398,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng	Vung Tau Homestay for up to 10prs	10 khách · 4 Phòng ngủ · 3 phòng tắm	2,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ dịch vụ	Simba Apartment @2BR, Cozy&Relax, Amazing Seaview	10 khách · 2 Phòng ngủ · 2 phòng tắm	769,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Căn hộ chung cư · Vũng Tàu Melody	RED SUN MELODY Apartment - 5 phút đi bộ ra biển- Gần highland coffee, vinmart, chợ nhỏ, quán ăn. Có bếp để nấu nướng tại căn hộ	6 khách · 2 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Căn hộ dịch vụ	The Avis Apartment - Deluxe Double 403	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Biệt Thự	Spring Villa	20 khách · 5 Phòng ngủ · 5 phòng tắm	2,400,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Biệt Thự	GerberaHome - biệt thự Long Cung	23 khách · 6 Phòng ngủ · 6 phòng tắm	5,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư · Vũng Tàu Melody	Chillin House Cloudy - Oceanview Superior Apartment	8 khách · 2 Phòng ngủ · 2 phòng tắm	620,500₫/đêm 730,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Căn hộ chung cư · Blue Sapphire Resort Vũng Tàu	[601]Căn hộ 3pn - Free Hồ bơi / Sát biển	10 khách · 3 Phòng ngủ · 3 phòng tắm	3,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Biệt Thự · Blue Sapphire Resort Vũng Tàu	Ruby Luxury Villa - RL07 - R10 Blue Sapphire resort	15 khách · 3 Phòng ngủ · 4 phòng tắm	4,940,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	11	
Căn hộ dịch vụ	The Avis Apartment - Deluxe Double 303	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Nhà riêng	Den's House	4 khách · 1 Phòng ngủ · 2 phòng tắm	337,500₫/đêm 375,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Căn hộ chung cư	Electron room - Jolie's Home	2 khách · 1 Phòng ngủ · 1 phòng tắm	665,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Biệt Thự	Villa Viet Home 8	30 khách · 5 Phòng ngủ · 4 phòng tắm	2,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư · Chung cư Vũng Tàu Plaza	Green House Vung Tau 1	15 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	4	
Căn hộ chung cư · Vũng Tàu Melody	| NEN 1 | 15th floor, 62m2 5mins walk to the beach	4 khách · 2 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	12	
Căn hộ chung cư	Trang Homestay Dic Phoenix VT	6 khách · 1 Phòng ngủ · 1 phòng tắm	600,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng · Chung cư Sơn Thịnh	Homestay Đường thùy vân	20 khách · 4 Phòng ngủ · 5 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư · Vũng Tàu Melody	Căn hộ homestay 2 phòng ngủ Melody Bãi Sau Vũng Tàu (A20)	8 khách · 2 Phòng ngủ · 2 phòng tắm	720,000₫/đêm 800,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	The Garden Home 2	2 khách · 1 Phòng ngủ · 1 phòng tắm	360,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư · Blue Sapphire Resort Vũng Tàu	[711]Căn hộ hồ bơi - View biển	7 khách · 2 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Khác	The Garden Homestay	4 khách · 1 Phòng ngủ · 1 phòng tắm	380,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Biệt Thự	Suna's HOME	15 khách · 5 Phòng ngủ · 6 phòng tắm	2,700,000₫/đêm 3,000,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Biệt Thự	GerberaHome Sky	30 khách · 8 Phòng ngủ · 9 phòng tắm	10,590,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng	Farah homestay - nhà nguyên căn trung tâm thành phố Vũng Tàu	12 khách · 2 Phòng ngủ · 2 phòng tắm	700,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ dịch vụ	The Avis Apartment - Deluxe Double 404	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư	[18.15]MODERN Apt/ 5mins Walk to beach	12 khách · 3 Phòng ngủ · 2 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng	Den's Full House	10 khách · 2 Phòng ngủ · 2 phòng tắm	720,000₫/đêm 800,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư	Bambo room - Jolie's Home	2 khách · 1 Phòng ngủ · 1 phòng tắm	665,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau Milan Homestay 8-2 bedroom Colosseo Melody Apartment (A5-8)	8 khách · 2 Phòng ngủ · 1 phòng tắm	405,000₫/đêm 450,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	7	
Căn hộ dịch vụ	The Avis Apartment - Deluxe Double 502	2 khách · 1 Phòng ngủ · 1 phòng tắm	550,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	7	
Căn hộ chung cư · Vũng Tàu Melody	LYN Apartment Melody Vung Tau, All view to the beach	8 khách · 3 Phòng ngủ · 2 phòng tắm	900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư · Vũng Tàu Melody	[A14.09] View biển - Cách Bãi Sau 5p đi bộ	8 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm 500,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Biệt Thự	Adi Villa 01	33 khách · 4 Phòng ngủ · 4 phòng tắm	2,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Adi Villa 17	40 khách · 6 Phòng ngủ · 6 phòng tắm	3,300,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Căn hộ homestay 3 phòng ngủ Melody Bãi Sau Vũng Tàu (A1)	12 khách · 3 Phòng ngủ · 2 phòng tắm	900,000₫/đêm 1,000,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Khác	Family Room 4 Pax Next to Vung Tau BEACH,3' Walk - VT 2269	4 khách · 1 Phòng ngủ · 1 phòng tắm	320,000₫/đêm 400,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	Adi Villa 865	40 khách · 5 Phòng ngủ · 7 phòng tắm	2,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau BB Homestay #3 - Melody Seaview Apartment, 5min to sea	12 khách · 2 Phòng ngủ · 2 phòng tắm	392,000₫/đêm 400,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Khác	Family Room Next to Vung Tau BEACH, 3' By Walk - VT 2269	4 khách · 1 Phòng ngủ · 1 phòng tắm	320,000₫/đêm 400,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư · Vũng Tàu Melody	Căn hộ homestay 2 phòng ngủ Melody Bãi Sau Vũng Tàu (B4)	6 khách · 2 Phòng ngủ · 1 phòng tắm	540,000₫/đêm 600,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Jungle Room - Jolie's Home	2 khách · 1 Phòng ngủ · 1 phòng tắm	665,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	3	
Biệt Thự	Ruby Luxury Villa RL04 - Doi Su Hill 6/6A	25 khách · 5 Phòng ngủ · 5 phòng tắm	5,900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Biệt Thự	Vung Tau Villa Ali5B - Biệt thự Vũng Tàu Ali5B	50 khách · 14 Phòng ngủ · 14 phòng tắm	4,000,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư	ECOSTAY SEAVIEW (MELODY VŨNG TÀU tầng 15 A15-15)	6 khách · 2 Phòng ngủ · 1 phòng tắm	500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Nhà riêng	Homestay YOURHOUSE	30 khách · 5 Phòng ngủ · 5 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ chung cư	3T Vungtau Homestay	9 khách · 2 Phòng ngủ · 2 phòng tắm	740,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	15	
Căn hộ chung cư	Pooh Homestay 5 - 2 bedrooms near the Back Beach	10 khách · 2 Phòng ngủ · 2 phòng tắm	1,200,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Biệt Thự	CARIBE VILLA VUNG TAU biệt thự chỉ cách bãi sau 150m gần biển nhất Vũng Tàu	25 khách · 5 Phòng ngủ · 4 phòng tắm	2,900,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ dịch vụ	The Avis Apartment - Attic Double 301	2 khách · 1 Phòng ngủ · 1 phòng tắm	450,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	2	
Căn hộ chung cư · Blue Sapphire Resort Vũng Tàu	Nice seaview apartment Blue Saphire Resort	6 khách · 2 Phòng ngủ · 2 phòng tắm	1,500,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ chung cư · Vũng Tàu Melody	Vung Tau BB Homestay #1 - Melody Seaview Apartment, 5min to sea	12 khách · 2 Phòng ngủ · 2 phòng tắm	392,000₫/đêm 400,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Nhà riêng	Jolie's Home - Homestay & Motel	16 khách · 4 Phòng ngủ · 4 phòng tắm	4,700,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Căn hộ Studio	Big Mama Hostel - Phòng Standard với Ban công nhỏ hướng TP	3 khách · 1 Phòng ngủ · 1 phòng tắm	420,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	
Căn hộ dịch vụ	The Avis Apartment - Deluxe Quadruple	4 khách · 1 Phòng ngủ · 1 phòng tắm	800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
Biệt Thự	Mona Villa 01	25 khách · 5 Phòng ngủ · 5 phòng tắm	5,800,000₫/đêm	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	10	
Căn hộ chung cư · Vũng Tàu Melody	Căn hộ homestay 2 phòng ngủ Melody Bãi Sau Vũng Tàu (A5)	6 khách · 2 Phòng ngủ · 1 phòng tắm	540,000₫/đêm 600,000₫	Vũng Tàu, Bà Rịa Vũng Tàu, Vietnam	1	
